,,,
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستقرار,(0) ينزعج بدون سبب واضح
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستقرار,(1) ينزعج لأي استفزاز بسيط أو توبيخ بسيط.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستقرار,(2) يظهر أحيانا شيئا من ضبط النفس للاستفزاز البسيط أو التوبيخ البسيط.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستقرار,(3) يظهر عادة ضبط النفس حتى لو استفزاز أو وبخ.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستقرار,(4) يحافظ على هدوئه الا إذا استفز بشكل خطير
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستجابة للسلطة والنظام (الامتثال),(0) ليس هناك ما يشير إلى أنه يستجيب لأشخاص معروفين.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستجابة للسلطة والنظام (الامتثال),(1) يطيع الاوامر عندما تصدر بحزم من أشخاص معروفين لهم سلطة.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستجابة للسلطة والنظام (الامتثال),(2) يستجيب للكلام من أشخاص معينين.
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستجابة للسلطة والنظام (الامتثال),(3) يحترم قواعد السلوك والأنظمة في غياب الأشخاص الذين لهم سلطة
السلوك الاجتماعي,التحكم بالذات والشخصية,الاستجابة للسلطة والنظام (الامتثال),(4) يحترم السلطة بمعناها المجرد ممثلة بأشخاص اخرين كالمعلم
السلوك الاجتماعي,التحكم بالذات والشخصية,الشعور بالأمن,(0)يبدو عليه الخوف والشعور بعدم الأمن حتى في المواقف العادية( المألوفة )
السلوك الاجتماعي,التحكم بالذات والشخصية,الشعور بالأمن,(1) يبدو عليه الشعور بالأمن في المواقف المألوفة فقط.
السلوك الاجتماعي,التحكم بالذات والشخصية,الشعور بالأمن,(2) يبدو عليه الشعور بالأمن في المواقف الجديدة ولكنه يحتاج إلى طمأنة.
السلوك الاجتماعي,التحكم بالذات والشخصية,الشعور بالأمن,(3) في المواقف الجديدة يبدو الشعور بالأمن تماما.
السلوك الاجتماعي,التحكم بالذات والشخصية,الشعور بالأمن,(4) يبدو عليه الشعور في مواقف قديمة وجديدة ويطمئن الاخرين.
السلوك الاجتماعي,التحكم بالذات والشخصية,التصرف في الجماعة,(0 ) في الغالب ال يمكن ضبطه في موقف الجماعة.
السلوك الاجتماعي,التحكم بالذات والشخصية,التصرف في الجماعة,(1) سلوكه في الجماعة مقبول، إذا كان هناك ضبط بحزم.
السلوك الاجتماعي,التحكم بالذات والشخصية,التصرف في الجماعة,(2) يكون سلوكه في الجماعة مقبولا إذا توفر التوجيه اللفظي والطمأنة.
السلوك الاجتماعي,التحكم بالذات والشخصية,التصرف في الجماعة,(3) يحسن التصرف في برنامج جماعي تحت إشراف
السلوك الاجتماعي,التحكم بالذات والشخصية,التصرف في الجماعة,(4) يحسن التصرف في مواقف العمل واللعب
السلوك الاجتماعي,التحكم بالذات والشخصية,المحافظة على ممتلكاته,(0) لا يحاول المحافظة على ممتلكاته الخاصة.
السلوك الاجتماعي,التحكم بالذات والشخصية,المحافظة على ممتلكاته,(1)يعرف ما له لكنه يلجأ إلى الاشخاص في السلطة( الكبار ) لحماية ممتلكاته.
السلوك الاجتماعي,التحكم بالذات والشخصية,المحافظة على ممتلكاته,(2) يحاول أن يحافظ على ممتلكاته.
السلوك الاجتماعي,التحكم بالذات والشخصية,المحافظة على ممتلكاته,(3) يعرف ما له ويحافظ على ممتلكاته بشكل مناسب.
السلوك الاجتماعي,التحكم بالذات والشخصية,المحافظة على ممتلكاته,(4) يعرف ممتلكات الأخرين ويساعد في حمايتها والمحافظة عليها.
السلوك الاجتماعي,التحكم بالذات والشخصية,الأمانة,(0) كثيرا ما يستولي على ممتلكات الأخرين
